User Group,Scenario (Stimulus),Query,Query Scope,Query Purpose,Response Format,Information Feature 1,Information Feature 2,Information Feature 3
End-user,1 GUI Screenshot,What personal imfortmation are you storing?,App-level,Inform,Textual,Privacy,Usage,
"End-user,1 GUI Screenshot,""Privacy settings, what does it have access to?"",App-level,Inform,Textual,Privacy,,"
End-user,1 GUI Screenshot,Is this app safe?,App-level,Inform,Textual,Privacy,,
End-user,1 GUI Screenshot,What is the data policy,App-level,Inform,Textual,Privacy,Usage,
End-user,1 GUI Screenshot,How can I ensure my privacy even when the app is closed?,App-level,Educate,Textual,Privacy,,
Designer,1 GUI Screenshot,Do you think it should collect user data,App-level,Suggest,Textual,Privacy,Usage,
Designer,1 GUI Screenshot,Do you think I should use any kind of payment,App-level,Suggest,Textual,Functionality,,
Designer,1 GUI Screenshot,Do you think we should share location,App-level,Suggest,Textual,Privacy,Sensor,
Designer,1 GUI Screenshot,Do you think we should share microphone,App-level,Suggest,Textual,Privacy,Sensor,
End-user,1 GUI Screenshot,Can the application determine your location if in danger?,App-level,Inform,Binary,Sensor,,
End-user,1 GUI Screenshot,How do I access settings?,UI-level,Educate,Image,Settings,,
End-user,1 GUI Screenshot,What features am I not using to their fullest,App-level,Inform,Textual,Usage,,
End-user,1 GUI Screenshot,How much time do i spend on this UI,UI-level,Inform,Numeric,Usage,,
End-user,1 GUI Screenshot,Is there a login page?,App-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Is my password data saved there?,App-level,Inform,Binary,Privacy,Usage,
End-user,1 GUI Screenshot,Does the app share my location when its not open?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Is the app connected to my camera/microphone?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Will the app save my usage history?,App-level,Inform,Binary,Privacy,Usage,
Designer,1 GUI Screenshot,Must I have wifi to use this?,App-level,Inform,Binary,Sensor,,
End-user,1 GUI Screenshot,Can I use the copy and paste function?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does the screen contain any colour?,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,does it fit for full screen,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,does it relate to notch presence,UI-level,Inform,Binary,Design,,
"End-user,1 GUI Screenshot,""does it fit to different devices (phone table, pc)"",UI-level,Inform,Binary,Compatibility,,"
End-user,1 GUI Screenshot,does it has different colour scheme?,UI-level,Inform,Binary,Design,,
Designer,1 GUI Screenshot,Can you add saving features to pictures and other material?,UI-level,Inform,Binary,Functionality,,
Designer,1 GUI Screenshot,Can the UI be edited by other people?,UI-level,Inform,Binary,Design,Functionality,
Designer,1 GUI Screenshot,Is there video support?,UI-level,Inform,Binary,Functionality,,
Designer,1 GUI Screenshot,Does the use of dark colors cause an aversion to application?,UI-level,Inform,Binary,Design,,
Designer,1 GUI Screenshot,Do people use satellite viev often?,UI-level,Inform,Binary,Functionality,Usage,
Designer,1 GUI Screenshot,Is it necessary to add ads?,App-level,Suggest,Binary,Functionality,,
Designer,1 GUI Screenshot,Is it good idea to add new category?,UI-level,Suggest,Binary,Functionality,,
Designer,1 GUI Screenshot,Highlight some components,UI-level,Execute,Image,Element,,
Designer,1 GUI Screenshot,Areas or sections of the app with more engagement with users.,App-level,Inform,Image,Element,Design,
Designer,1 GUI Screenshot,What are the most clicked button / feature,App-level,Inform,Image,Element,Usage,
Designer,1 GUI Screenshot,Info about color palettes.,UI-level,Inform,Image,Design,,
Designer,1 GUI Screenshot,How to add another language?,UI-level,Educate,Image,Localisation,Privacy,
Designer,1 GUI Screenshot,Show contrats values,UI-level,Inform,Image,Design,,
Designer,1 GUI Screenshot,Please show information about colour blindness.,UI-level,Inform,Image,Accessibility,Design,
Designer,1 GUI Screenshot,How does the UI look on the mobile?,UI-level,Inform,Image,Compatibility,Design,
End-user,1 GUI Screenshot,Which are the best alternatives for the app?,Dataset-level,Filter,Image,,,
End-user,1 GUI Screenshot,can I search similar app,Dataset-level,Filter,Image,,,
Designer,1 GUI Screenshot,Search for similar apps.,Dataset-level,Filter,Image,,,
Designer,1 GUI Screenshot,Show me complex site navigations,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me colour palettes,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me company logos,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,SHow me apps using gradients,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,What are the most popular apps at the moment,Dataset-level,Filter,Image,Metadata,,
Designer,1 GUI Screenshot,show templates,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,show me icons,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,show me fonts,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,show me images,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me similiar UI designs,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me UI's with similar design of Instagram,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me UI's of apps with picture stories,Dataset-level,Filter,Image,Functionality,,
Designer,1 GUI Screenshot,Show me UI's with account profile,Dataset-level,Filter,Image,Functionality,,
Designer,1 GUI Screenshot,Show me UI's with login page,Dataset-level,Filter,Image,Functionality,,
Designer,1 GUI Screenshot,Show me UI's that contains camera button,Dataset-level,Filter,Image,Element,,
Designer,1 GUI Screenshot,Can you show me the UI of (subject) mobile application?,Dataset-level,Filter,Image,Functionality,,
Designer,1 GUI Screenshot,Show me (subject) homepage,Dataset-level,Filter,Image,Page,,
Designer,1 GUI Screenshot,Show me UI relating to (subject),Dataset-level,Filter,Image,Page,,
Designer,1 GUI Screenshot,Show me (UI component) design idea,Dataset-level,Filter,Image,Design,Element,
Designer,1 GUI Screenshot,Show be better UI design for this category,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Could you show reference on using certain alphabets?,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me UIs with similar colour palette,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me applications with similar target audience,Dataset-level,Filter,Image,Metadata,,
Designer,1 GUI Screenshot,Show me UIs with a specific layout,Dataset-level,Filter,Image,Design,,
Designer,1 GUI Screenshot,Show me applications with similar content,Dataset-level,Filter,Image,Functionality,,
Designer,1 GUI Screenshot,Show me applications of a specific developer,Dataset-level,Filter,Image,Metadata,,
Designer,1 GUI Screenshot,What is the most similar UI to the one that I am designing/has this design been used before?,Dataset-level,Find,Image,Design,,
Designer,1 GUI Screenshot,Can you find a template...?,UI-level,Find,Image,Design,,
Designer,1 GUI Screenshot,Can you find a (description) search bar?,UI-level,Find,Image,Element,,
Designer,1 GUI Screenshot,Can you find me the right navigation menu?,UI-level,Find,Image,Element,,
Designer,1 GUI Screenshot,How to change resolution of the video?,UI-level,Educate,Image,Element,Functionality,
Designer,1 GUI Screenshot,How can I open recent videos?,UI-level,Educate,Image,Element,Functionality,
Designer,1 GUI Screenshot,How can I pay for tv?,UI-level,Educate,Image,Element,Functionality,
Designer,1 GUI Screenshot,How to create a modern and elegant look?,Dataset-level,Suggest,Image,Design,,
Designer,1 GUI Screenshot,What colour would be the best to navigation menu?,Dataset-level,Suggest,Image,Design,,
Designer,1 GUI Screenshot,What color should dominate?,UI-level,Suggest,Image,Design,,
Designer,1 GUI Screenshot,What shapes do agent wants to dominate?,UI-level,Suggest,Image,Design,,
Designer,1 GUI Screenshot,What would be best as a color theme?,UI-level,Suggest,Image,Design,,
Designer,1 GUI Screenshot,What is the best place to put images related to UI,UI-level,Suggest,Image,Design,Element,
Designer,1 GUI Screenshot,What colour scheme do you want,UI-level,Suggest,Image,Design,,
End-user,1 GUI Screenshot,How much time do I spend on said app?,App-level,Inform,Numeric,Usage,,
Designer,1 GUI Screenshot,Monthly and daily usage of the app.,App-level,Inform,Numeric,Usage,,
Designer,1 GUI Screenshot,Demographic use of the app.,App-level,Inform,Numeric,Usage,,
End-user,1 GUI Screenshot,How often do people use the app?,App-level,Educate,Numeric,Usage,,
Designer,1 GUI Screenshot,Where can I use this app?,App-level,Inform,Textual,Localisation,,
Designer,1 GUI Screenshot,What's in the menu,UI-level,Inform,Textual,Functionality,,
Designer,1 GUI Screenshot,What can the user do on this page,UI-level,Inform,Textual,Functionality,Page,
Designer,1 GUI Screenshot,On what social media will i be able to directly link to?,,Inform,Textual,Functionality,,
Designer,1 GUI Screenshot,What font do agent wants to appear on screen?,UI-level,Suggest,Textual,Design,,
Designer,1 GUI Screenshot,What features (f.e. animations) do agent wants to be in UI?,UI-level,Suggest,Textual,Functionality,,
End-user,1 GUI Screenshot,Open up the UI menu,UI-level,Execute,Image,Element,,
End-user,1 GUI Screenshot,Show me the menu,UI-level,Execute,Image,Element,,
End-user,1 GUI Screenshot,Go to the end of the page,UI-level,Execute,Image,Element,,
Developer,1 GUI Screenshot,Copy UI (as an image),UI-level,Execute,Image,Page,Design,
Designer,1 GUI Screenshot,How many people a month use these apps?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,What is the purpose of the application?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,Can I contact the support for help?,App-level,Inform,Binary,Metadata,,
End-user,1 GUI Screenshot,Does the app have a login page,App-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Does the application have a navigation bar?,App-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does the app use my location?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Are there settings that allow customization,App-level,Inform,Binary,Settings,,
End-user,1 GUI Screenshot,Does this require a lot of storage,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,How often are updates required,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Does it have a user account?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does it use the microphone?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does it ask for camera access?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does it have a home page?,App-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Does it have a traffic related page?,App-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,What's the better time to use the app?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,How can i make a playlist of favourite products,App-level,Educate,Textual,Functionality,,
End-user,1 GUI Screenshot,Is this application battery-draining?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Can users give feedback on the application?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can i make lists on this app?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does the application use camera ?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does the application has a search bar?,App-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does the application use microphone ?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Is the application high rated ?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Does the application need internet?,App-level,Inform,Binary,Functionality,Sensor,
End-user,1 GUI Screenshot,does the application have a menu?,App-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,can you filter the results?,App-level,Inform,Image,Functionality,,
End-user,1 GUI Screenshot,does the application have a way to pay?,App-level,Inform,Image,Functionality,,
End-user,1 GUI Screenshot,What is the rating of the application?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Does the app need access to the microphone?,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does it have a login page?,App-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,How much data does it consume?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Does it require access to device location,App-level,Inform,Binary,Privacy,Sensor,
End-user,1 GUI Screenshot,Does it need me to create an account,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does it have a search feature,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does it have accessibility options for impairments?,App-level,Inform,Binary,Accessibility,,
End-user,1 GUI Screenshot,How much storage space does it take up?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,How much data does it use?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,is information shared with other parties?,App-level,Inform,Binary,Privacy,Usage,
End-user,1 GUI Screenshot,Can the microphone be used?,App-level,Inform,Binary,Sensor,,
End-user,1 GUI Screenshot,Can the camera be used?,App-level,Inform,Binary,Sensor,,
End-user,1 GUI Screenshot,Can it be used from multiple devices?,App-level,Inform,Binary,Compatibility,,
"End-user,1 GUI Screenshot,""Does """"this"""" app collects my data without my knowledge?"",App-level,Inform,Binary,Privacy,Usage,"
"End-user,1 GUI Screenshot,""What is """"this"""" apps playstore/appstore score?"",App-level,Inform,Numeric,Metadata,,"
End-user,1 GUI Screenshot,Can I see the name of the creators?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,popularity?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,current version,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,what categories does this app has?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,can I switch app language?,App-level,Inform,Binary,Localisation,Functionality,
End-user,1 GUI Screenshot,can I mute sounds in this app?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,show me latest update log from this ap,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,What languages does this app use,App-level,Inform,Textual,Localisation,Metadata,
Developer,1 GUI Screenshot,How much is the cost?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Is there a device compatibility list,App-level,Inform,Textual,Metadata,Compatibility,
End-user,1 GUI Screenshot,Is there a demo where I can see the product?,App-level,Inform,Image,Metadata,,
End-user,1 GUI Screenshot,Is there a trial period?,App-level,Inform,Binary,Metadata,,
End-user,1 GUI Screenshot,What is the pricing?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,What is the cancellation process?,App-level,Inform,Textual,Metadata,,
End-user,1 GUI Screenshot,What's the rating for this app?,App-level,Inform,Numeric,Metadata,,
End-user,1 GUI Screenshot,Is this app recommended for kids?,App-level,Inform,Binary,Metadata,,
End-user,1 GUI Screenshot,Does this app has american channels?,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,does the app have a track feature,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,can i link apps,App-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,does the app have night mode?,App-level,Inform,Binary,Design,,
Developer,1 GUI Screenshot,Does the app support mutiple languages?,App-level,Inform,Binary,Localisation,Metadata,
Developer,1 GUI Screenshot,Will the app expand in the future?,App-level,Inform,Textual,,,
Developer,1 GUI Screenshot,Does the app need a database?,App-level,Inform,Binary,Functionality,,
Developer,1 GUI Screenshot,Does the app require internet connection?,App-level,Inform,Binary,Sensor,,
Developer,1 GUI Screenshot,What libraries do the wheater component import?,App-level,Inform,Textual,Programming,,
Developer,1 GUI Screenshot,What version of Android SDK is required to develop this UI?,App-level,Inform,Textual,Programming,Metadata,
Developer,1 GUI Screenshot,How well optimised is the app on both ios and android,App-level,Inform,Textual,Programming,Compatibility,
Developer,1 GUI Screenshot,Is there a very clear purpose of the app,App-level,Inform,Textual,Functionality,,
Developer,1 GUI Screenshot,How many pages are used?,App-level,Inform,Textual,Page,,
Developer,1 GUI Screenshot,Does app have puch notifications?,App-level,Inform,Binary,Functionality,,
Developer,1 GUI Screenshot,Does app have password?,App-level,Inform,Binary,Functionality,,
Developer,1 GUI Screenshot,Does app have inside communication?,App-level,Inform,Binary,Functionality,,
Developer,1 GUI Screenshot,Does app have payment options included?,App-level,Inform,Binary,Functionality,,
Developer,1 GUI Screenshot,Who created this app?,App-level,Inform,Textual,Metadata,,
Developer,1 GUI Screenshot,What is this application used for,App-level,Inform,Textual,Metadata,,
Developer,1 GUI Screenshot,Show app rating,App-level,Inform,Numeric,Metadata,,
Developer,1 GUI Screenshot,Does it have an user account page,App-level,Inform,Binary,Page,,
Developer,1 GUI Screenshot,What is the purpose of the mobile app?,App-level,Inform,Textual,Metadata,Functionality,
"Developer,1 GUI Screenshot,""In which context is the application integrated? (performance, only to present information, etc))"",App-level,Inform,Textual,,,"
Developer,1 GUI Screenshot,what are requirements for this to work (user permissions),App-level,Inform,Textual,Privacy,Compatibility,
Developer,1 GUI Screenshot,Does it have a tablet version?,App-level,Inform,Binary,Compatibility,,
Developer,1 GUI Screenshot,Does the app use microphone?,App-level,Inform,Binary,Privacy,Sensor,
Developer,1 GUI Screenshot,Does the app have a user page?,App-level,Inform,Binary,Page,,
Developer,1 GUI Screenshot,What are the color themes of the app?,App-level,Inform,Image,Design,,
Designer,1 GUI Screenshot,What do users think of the UI,App-level,Inform,Textual,Design,Metadata,
Designer,1 GUI Screenshot,How old is the UI,App-level,Inform,Numeric,Metadata,,
Designer,1 GUI Screenshot,How safe is the UI (Security),App-level,Inform,Textual,Privacy,,
Designer,1 GUI Screenshot,On what devices does the UI work,App-level,Inform,Textual,Compatibility,,
Designer,1 GUI Screenshot,Who designed the UI,App-level,Inform,Textual,Metadata,,
Designer,1 GUI Screenshot,How many app using this feature already exist?,Dataset-level,Inform,Numeric,Functionality,,
Designer,1 GUI Screenshot,Do these type of app are primarily built on desktop or mobile?,Dataset-level,Inform,Textual,Compatibility,,
"Designer,1 GUI Screenshot,""What is the most common feature in the """"type of app im making""""?"",Dataset-level,Inform,Textual,Functionality,,"
Designer,1 GUI Screenshot,Can I change the ingredients portion?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,does the screen have a search bar?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,does the screen have a sorting by option?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,does the screen have a list view?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Do they have a search function?,UI-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Are there tools that help those who are voice impaired,UI-level,Inform,Binary,Accessibility,,
End-user,1 GUI Screenshot,Can you expant the daily forecast window?,UI-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Can you move the daily forecast?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does it have widget support?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can you change the theme?,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,Does the screen shows any image?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,How many images are in the screen?,UI-level,Inform,Numeric,Element,,
End-user,1 GUI Screenshot,Does the screen contain text?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does the screen shows a title?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Which is the main colour of the interface?,UI-level,Inform,Image,Design,,
End-user,1 GUI Screenshot,Are there any shortcut keys for navigation?,UI-level,Inform,Image,Functionality,,
"End-user,1 GUI Screenshot,""Do you have to enter information in a certain format (e.g. separated by a comma, certain order etc)?"",UI-level,Inform,Textual,Functionality,,"
End-user,1 GUI Screenshot,Is it possible to share this information with others (is there a share link)?,UI-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Can I write on the screen (digitally with a graphics pen or fingers)?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,What's the image resolution in this application?,UI-level,Inform,Textual,Design,,
End-user,1 GUI Screenshot,can you switch between views?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,can you search specific terms?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Are there any images on the screen?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Can I change the interface?,UI-level,Inform,Binary,Design,Page,
End-user,1 GUI Screenshot,Can I adjust the text width?,UI-level,Inform,Binary,Design,Element,
End-user,1 GUI Screenshot,Does it have a menu?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does it have images?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does it have advertisements?,UI-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Can the keyboard be used?,UI-level,Inform,Binary,Functionality,,
"End-user,1 GUI Screenshot,""Is there a """"share"""" button?"",UI-level,Inform,Binary,Element,,"
End-user,1 GUI Screenshot,Does it have a search bar?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does it have different sections?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does it have images?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does the screen have a favourites section,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Does the screen have a way to see the icons in different modes,UI-level,Inform,Binary,Element,Functionality,
End-user,1 GUI Screenshot,Can I use a reading view?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can I zoom?,UI-level,Inform,Binary,Functionality,Design,
End-user,1 GUI Screenshot,Can I share the screen?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can I customise the list,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can I add favorites,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,How are the channels sorted/categorized,UI-level,Inform,Textual,Functionality,,
End-user,1 GUI Screenshot,Does the screen have a settings menu?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Is there an options icon?,UI-level,Inform,Binary,Element,,
End-user,1 GUI Screenshot,Can you save notes?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can you save pictures?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Can I personalize the graphics?,UI-level,Inform,Binary,Design,Functionality,
End-user,1 GUI Screenshot,Does the UI have a Favourites page?,UI-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Does the UI have a Recent page?,UI-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Does the UI have a Categories page?,UI-level,Inform,Binary,Page,,
End-user,1 GUI Screenshot,Does the UI have Dark mode?,UI-level,Inform,Binary,Design,,
End-user,1 GUI Screenshot,What does menu look like,UI-level,Inform,Image,Design,,
End-user,1 GUI Screenshot,Is the theme dark or light?,UI-level,Inform,Textual,Design,,
End-user,1 GUI Screenshot,How many sub menus are there?,UI-level,Inform,Textual,Functionality,,
End-user,1 GUI Screenshot,Is there categories menu?,UI-level,Inform,Binary,Functionality,,
End-user,1 GUI Screenshot,Does this screen have a voice search?,UI-level,Inform,Binary,Functionality,Element,
End-user,1 GUI Screenshot,Is there a recenet tabs close feature?,UI-level,Inform,Binary,Functionality,Element,
Developer,1 GUI Screenshot,is there any popup?,UI-level,Inform,Binary,Functionality,Element,
Developer,1 GUI Screenshot,is there any link?,UI-level,Inform,Binary,Element,,
Developer,1 GUI Screenshot,is it dynamic?,UI-level,Inform,Binary,Design,,
